都市,月,平均気温,最高気温,最低気温
札幌,1,-3.6,-0.9,-7.0
札幌,2,-3.1,-0.5,-6.6
札幌,3,0.6,4.1,-3.1
札幌,4,7.1,11.5,2.9
札幌,5,12.4,17.3,7.9
札幌,6,16.7,21.5,12.7
札幌,7,20.5,24.9,17.0
札幌,8,22.3,26.4,19.1
札幌,9,18.2,22.6,14.6
札幌,10,11.8,16.2,7.9
札幌,11,4.4,8.4,0.8
札幌,12,-1.2,1.5,-4.1
仙台,1,1.6,5.4,-1.7
仙台,2,2.2,6.3,-1.2
仙台,3,5.2,9.8,1.2
仙台,4,10.6,15.7,6.0
仙台,5,15.5,20.8,11.0
仙台,6,18.8,23.5,15.2
仙台,7,22.4,26.3,19.5
仙台,8,24.8,29.0,21.6
仙台,9,21.0,25.2,17.6
仙台,10,15.4,19.9,11.6
仙台,11,9.7,14.3,5.8
仙台,12,4.3,8.5,0.7
東京,1,5.8,10.0,2.1
東京,2,7.0,11.9,2.9
東京,3,10.7,15.7,6.5
東京,4,15.4,20.7,11.0
東京,5,19.7,24.8,15.4
東京,6,22.4,26.9,18.8
東京,7,26.4,30.8,23.0
東京,8,28.4,33.1,24.7
東京,9,24.6,28.7,21.3
東京,10,18.7,22.9,15.3
東京,11,13.3,17.8,9.6
東京,12,8.3,12.5,4.8
大阪,1,6.0,9.9,2.8
大阪,2,6.7,10.9,3.3
大阪,3,10.7,15.3,6.8
大阪,4,15.8,21.0,11.3
大阪,5,20.4,25.7,16.0
大阪,6,23.5,28.3,19.8
大阪,7,27.4,32.0,23.9
大阪,8,29.1,34.1,25.3
大阪,9,25.2,29.8,21.6
大阪,10,19.1,23.8,15.3
大阪,11,13.4,18.0,9.6
大阪,12,8.1,12.3,4.7
福岡,1,7.0,10.8,3.8
福岡,2,8.3,12.5,4.8
福岡,3,11.9,16.3,8.1
福岡,4,16.4,21.3,12.2
福岡,5,20.3,25.0,16.3
福岡,6,23.3,27.3,20.2
福岡,7,27.2,31.0,24.3
福岡,8,28.4,32.5,25.3
福岡,9,24.8,28.7,21.8
福岡,10,19.5,23.9,15.9
福岡,11,14.4,18.7,10.8
福岡,12,9.3,13.4,5.9
那覇,1,17.3,19.8,15.2
那覇,2,17.8,20.4,15.7
那覇,3,19.4,22.2,17.1
那覇,4,21.7,24.7,19.3
那覇,5,24.6,27.6,22.2
那覇,6,27.4,30.2,25.2
那覇,7,29.0,31.9,26.8
那覇,8,28.7,31.7,26.4
那覇,9,27.6,30.5,25.3
那覇,10,25.2,28.1,23.0
那覇,11,22.1,24.9,19.8
那覇,12,18.9,21.5,16.7
